id:1,88,93,97,90,98,95,88,97,100,93,64,87,92,85,100,99,
id:2,89,1,97,62,96,89,90,93,64,97,96,85,30,81,100,87,
id:3,55,73,100,40,82,72,100,95,94,99,91,77,95,5,98,6,
id:4,100,88,95,96,83,98,93,91,96,85,66,34,32,83,98,100,
id:5,77,97,68,78,100,89,84,45,79,98,99,41,99,100,99,96,
id:6,67,21,84,96,98,100,82,100,100,94,100,100,98,93,99,12,
id:7,2,99,100,99,82,86,97,66,52,100,91,100,100,92,88,98,
id:8,94,67,86,76,49,99,97,99,100,81,100,100,78,100,95,86,
id:9,2,99,95,91,22,64,79,90,56,94,98,78,92,85,13,80,
id:10,82,36,99,100,11,75,100,28,98,100,81,93,90,96,98,88,
id:11,97,96,66,98,96,99,98,98,97,91,100,100,42,80,94,92,
id:12,90,88,87,45,97,62,88,96,40,98,100,98,99,98,8,76,
id:13,79,96,100,97,30,82,93,85,96,95,96,88,16,57,97,100,
id:14,90,97,87,86,96,100,76,92,11,93,93,99,54,99,98,94,
id:15,91,98,64,96,97,13,72,100,57,97,99,99,100,79,50,99,
id:16,18,97,74,99,89,78,83,100,99,26,79,50,100,68,95,77,
id:17,98,99,94,98,31,30,97,97,94,100,99,88,90,87,96,100,
id:18,91,100,99,99,95,85,46,100,29,91,46,84,71,79,100,97,
id:19,96,94,87,100,98,80,100,89,82,62,74,96,95,87,87,100,
id:20,99,98,97,100,97,95,100,100,98,95,99,99,87,99,99,68,
id:21,100,96,86,50,89,61,91,84,99,93,80,80,75,94,96,28,
id:22,97,99,10,99,81,82,99,100,54,93,99,97,86,17,99,1,
id:23,94,95,100,99,100,84,100,84,25,27,97,95,100,97,86,92,
id:24,99,84,89,99,99,89,10,64,100,99,100,96,98,99,95,97,
id:25,99,87,99,100,57,95,91,80,96,100,83,81,97,74,99,93,
id:26,98,98,93,97,91,100,18,100,98,5,100,86,95,100,90,89,
id:27,91,94,87,99,73,100,89,94,95,42,83,30,100,99,65,97,
id:28,4,93,100,83,48,97,71,80,99,7,14,96,87,57,99,49,
id:29,99,95,97,90,99,3,98,100,71,99,93,99,92,86,94,96,
id:30,100,97,85,92,85,2,97,92,41,88,100,93,95,52,79,96,
id:31,97,76,16,98,100,100,20,100,93,96,91,100,100,80,62,98,
id:32,100,97,99,97,89,100,98,98,94,96,87,85,19,98,24,83,
id:33,100,37,88,100,90,99,100,85,90,100,2,92,100,96,57,97,
id:34,14,34,98,38,82,99,96,30,91,97,86,100,89,95,97,47,
